Id,TipoID,Portafolio_RentaFija,Portafolio_RentaVariable,Entradas_Transaccionales,Entradas_Frecuencia,Salidas_Transaccionales,Salidas_Frecuencia,DivisasCompras,DivisasVentas
321,CC,74917315.94849,0.0,0.0,0,570459007.59,8,0.0,0.0
322,CC,353977670.0,0.0,0.0,0,2783842.07,6,0.0,0.0
323,CC,300171776.96,0.0,0.0,0,0.0,0,298734500.0,0.0
324,CC,0.0,219267700.0,0.0,0,1972207.31714286,2,0.0,0.0
325,CC,1029522540.0,0.0,0.0,0,548895358.98,4,0.0,0.0
326,CC,60035535.569094,30528000.0,0.0,0,137473696.03,2,0.0,0.0
327,CC,0.0,0.0,983526193.803333,0,85740000.0,1,1432860000.0,0.0
328,CC,0.0,0.0,1400000000.0,0,0.0,0,902050000.0,0.0
329,CC,0.0,473729260.0,21153333.3333333,0,1119511.11111111,1,0.0,0.0
330,CC,0.0,0.0,0.0,0,82154535.4,1,0.0,0.0
331,CC,129829700.0,135940520.0,0.0,0,5599883.574,2,0.0,0.0
332,CC,0.0,235438900.0,0.0,0,88699159.25,1,0.0,0.0
333,CC,0.0,0.0,0.0,0,19141726.705,1,0.0,0.0
334,CC,0.0,4696280.0,88926705.0,0,13184898.76,1,0.0,0.0
335,CC,0.0,0.0,0.0,0,100000000.0,1,0.0,0.0
336,CC,44950389.569094,0.0,0.0,0,705937.35,1,0.0,0.0
337,CC,0.0,537525540.0,17094895.2,0,10784149.2,2,0.0,0.0
338,CC,0.0,0.0,0.0,0,40000000.0,2,0.0,0.0
339,CC,0.0,0.0,0.0,0,55337180.97,1,0.0,0.0
340,CC,0.0,595331440.0,25470696.89,1,0.0,0,0.0,0.0
341,CC,0.0,87086700.0,0.0,0,16936704.945,1,0.0,0.0
342,CC,178145300.0,0.0,100000000.0,0,48510897.005,1,0.0,0.0
343,CC,0.0,0.0,1540833.33333333,2,103200125.846667,2,0.0,0.0
344,CC,0.0,0.0,0.0,0,3091475.99,1,0.0,0.0
345,CC,0.0,0.0,0.0,0,190000000.0,1,0.0,0.0
346,CC,0.0,76059970.0,0.0,0,2796611.36,1,0.0,0.0
347,CC,0.0,679061200.0,0.0,0,4424960.26571429,1,0.0,0.0
348,CC,0.0,36122120.0,0.0,0,5081250.0,1,0.0,0.0
349,CC,0.0,17801250.0,0.0,0,24705154.375,2,0.0,0.0
350,CC,0.0,25240240.0,14713333.3333333,0,7181105.23933333,1,0.0,0.0
351,CC,0.0,9526900.0,0.0,0,1243014.9625,1,0.0,0.0
352,CC,0.0,0.0,0.0,0,68067311.9866667,2,0.0,0.0
353,CC,129881700.0,0.0,0.0,0,496259557.22,3,0.0,0.0
354,CC,0.0,64231150.0,122000000.0,0,0.0,0,181944400.0,0.0
355,CC,0.0,117500000.0,0.0,0,24900000.0,1,0.0,0.0
356,CC,0.0,660145.0,0.0,0,4201166.09,2,0.0,0.0
357,CC,0.0,5516410.0,7000000.0,0,0.0,0,0.0,0.0
358,CC,0.0,257149730.0,0.0,0,10396772.3181818,2,0.0,0.0
359,CC,0.0,2396960.0,100000.0,0,6441103.2,1,0.0,0.0
360,CC,0.0,0.0,0.0,0,100958943.26,3,0.0,0.0
361,CC,0.0,0.0,0.0,0,10000000.0,1,0.0,0.0
362,CC,0.0,0.0,0.0,0,4152173.91304348,1,0.0,0.0
363,CC,0.0,0.0,0.0,0,14833333.3333333,1,0.0,0.0
364,CC,0.0,4420350.0,0.0,0,209114.03,1,0.0,0.0
365,CC,0.0,0.0,0.0,0,1576751.794,1,0.0,0.0
366,CC,0.0,0.0,0.0,0,224847597.74,2,0.0,0.0
367,CC,0.0,9920030.0,0.0,0,4667539.7,2,0.0,0.0
368,CC,0.0,0.0,13871364.5,0,4000000.0,1,0.0,0.0
370,CC,0.0,0.0,75000000.0,0,0.0,0,0.0,0.0
371,CC,0.0,99156990.0,10000000.0,0,5362131.54583333,3,0.0,0.0
373,CC,498254000.0,0.0,0.0,0,61863851.4458333,2,0.0,1022700000.0
374,CC,100380000.0,0.0,0.0,0,18530554.18,1,0.0,0.0
375,CC,0.0,0.0,0.0,0,6000000.0,1,131694934.767733,0.0
376,CC,0.0,0.0,0.0,0,126390402.5,2,0.0,0.0
377,CC,0.0,2350000.0,0.0,0,462791.72,1,0.0,0.0
378,CC,0.0,9400000.0,0.0,0,788000.0,1,0.0,0.0
379,CC,0.0,20377650.0,0.0,0,3044889.49,1,0.0,0.0
380,CC,0.0,29778759.29,2783333.33333333,0,0.0,0,0.0,0.0
381,CC,0.0,3089000.0,0.0,0,179900.975,1,0.0,0.0
382,CC,0.0,79166600.0,0.0,0,2018000.0,1,0.0,0.0
385,CC,0.0,2902320.0,0.0,0,10349936.02,1,0.0,0.0
386,CC,0.0,7050000.0,0.0,0,907096.31,1,0.0,0.0
387,CC,0.0,79108740.0,0.0,0,12333333.3333333,1,0.0,0.0
388,CC,0.0,0.0,0.0,0,58098581.5,3,0.0,0.0
389,CC,335694325.94849,0.0,17500000.0,1,92537984.71,2,0.0,0.0
390,CC,0.0,28266150.0,0.0,0,1084657.38,1,0.0,0.0
391,CC,0.0,31558000.0,0.0,0,194689.185,1,0.0,0.0
392,CC,0.0,420923400.0,0.0,0,11029712.0,2,0.0,0.0
393,CC,0.0,765000.0,0.0,0,49330031.39,2,0.0,0.0
394,CC,0.0,0.0,40000000.0,0,0.0,0,0.0,0.0
395,CC,0.0,0.0,0.0,0,432775485.48,4,0.0,0.0
396,CC,0.0,38608150.0,0.0,0,2439674.5,1,0.0,0.0
398,CC,0.0,10744000.0,25996599.6666667,1,43881135.25,2,0.0,0.0
399,CC,0.0,0.0,0.0,0,20377697.26,2,0.0,0.0
400,CC,0.0,55225000.0,25000000.0,1,20903000.0,2,0.0,0.0
402,CC,30050700.0,127714635.6,0.0,0,2463400.125,1,0.0,0.0
403,CC,0.0,4700000.0,0.0,0,916949.31,1,0.0,0.0
404,CC,0.0,5080700.0,0.0,0,1312988.59,1,0.0,0.0
405,CC,0.0,15463919.02,0.0,0,2506770.37333333,1,0.0,0.0
406,CC,0.0,131016380.0,30000000.0,1,7686250.0,2,0.0,0.0
407,CC,0.0,54935850.0,0.0,0,883333.333333333,1,0.0,0.0
408,CC,3473343000.0,0.0,0.0,0,497373639.84,1,1538337500.0,0.0
409,CC,0.0,5462968889.52,0.0,0,616962015.93,2,0.0,0.0
410,CC,0.0,0.0,0.0,0,21465000.0,2,0.0,0.0
411,CC,0.0,1371787765.4,0.0,0,5912746.30727273,1,0.0,0.0
412,CC,0.0,0.0,0.0,0,692882074.65,5,0.0,0.0
413,CC,26267168.24,2293343.73,0.0,0,183928188.646667,2,0.0,488910000.0
414,CC,0.0,0.0,40938098.505,0,30640291.7866667,1,0.0,0.0
415,CC,0.0,597617964.0,0.0,0,15000000.0,1,135340000.0,0.0
416,CC,1457407000.0,0.0,330000000.0,1,186513083.42,2,0.0,0.0
417,CC,0.0,4700000.0,0.0,0,740304.555,1,0.0,0.0
418,CC,0.0,65195210.0,0.0,0,20000000.0,1,0.0,0.0
419,CC,0.0,41290760.0,0.0,0,2291324.0,1,0.0,0.0
420,CC,3045420000.0,6100885747.0,366733333.333333,0,0.0,0,0.0,0.0
421,CC,0.0,0.0,60000000.0,0,138738521.61,4,0.0,0.0
422,CC,0.0,9905700.0,0.0,0,778444.03,1,0.0,0.0
423,CC,0.0,217482970.0,20000000.0,1,18519767.8175,1,0.0,0.0
424,CC,0.0,4700000.0,0.0,0,547676.035,1,0.0,0.0
425,CC,0.0,4700000.0,0.0,0,883084.77,1,0.0,0.0
426,CC,0.0,2350000.0,0.0,0,197000.0,1,0.0,0.0
427,CC,0.0,4700000.0,0.0,0,34000.0,1,0.0,0.0
428,CC,0.0,0.0,0.0,0,0.0,0,6199982.5564,0.0
429,CC,0.0,11750000.0,0.0,0,1399981.0,1,0.0,0.0
430,CC,0.0,13427900.0,0.0,0,832282.56,1,0.0,0.0
431,CC,4327400.0,0.0,0.0,0,0.0,0,0.0,12089106.32
432,CC,0.0,9400000.0,0.0,0,1115521.92,1,0.0,0.0
433,CC,0.0,0.0,0.0,0,260359815.46,5,0.0,0.0
