Id,Tipo_ID,Ocupacion,Nacimiento,Edad,RangoEtario,Estado,IngresosFinancieros,Activos,Pasivos,Patrimonio,NivelRiesgo,Segmento,RiesgoOcupacion,Portafolio_RentaFija,Portafolio_RentaVariable,Entradas_Transaccionales,Entradas_Frecuencia,Salidas_Transaccionales,Salidas_Frecuencia,DivisasCompras,DivisasVentas,Cluster
6721,CC,Empleado,1984-08-09,38,31-50,Activo,50993000,56300000,6000000.0,50300000.0,Medio,Personal,2,0.0,9918160.0,3992420.0,2,10395000.0,2,0.0,0.0,3
6722,CC,Empleado,1984-05-08,39,31-50,Activo,164798000,410257000,0.0,410257000.0,Bajo,Personal,2,0.0,0.0,60000000.0,0,0.0,0,0.0,0.0,2
6726,CC,Empleado,1985-07-22,37,31-50,Activo,137345000,268397000,893000.0,267504000.0,Bajo,Personal,2,0.0,79900000.0,10000000.0,0,0.0,0,0.0,0.0,3
6728,CC,Empleado,1986-01-12,37,31-50,Activo,281179000,1712698000,481979000.0,1230719000.0,Bajo,Personal,2,0.0,0.0,0.0,0,205381.33,1,0.0,0.0,1
6731,CC,Empleado,1980-01-12,43,31-50,Activo,47976996,1004007000,614000.0,1003393000.0,Medio,Personal,2,0.0,76258760.0,60000000.0,0,275000000.0,2,0.0,0.0,3
6732,CC,Empleado,1980-04-03,43,31-50,Activo,98143992,237499000,108711000.0,128788000.0,Bajo,Personal,2,0.0,13995630.0,0.0,0,22008123.0,1,0.0,0.0,0
6736,CC,Empleado,1980-12-03,42,31-50,Activo,181037000,285687000,181893000.0,103794000.0,Medio,Personal,2,0.0,19380000.0,17833333.3333333,0,120000000.0,2,0.0,0.0,3
6737,CC,Empleado,1980-09-15,42,31-50,Activo,627864000,4363297000,2654000.0,4360643000.0,Bajo,Personal,2,0.0,0.0,0.0,0,158262.94,1,0.0,0.0,1
6738,CC,Empleado,1981-02-02,42,31-50,Activo,163957000,2172120000,925269000.0,1246851000.0,Medio,Personal,2,0.0,0.0,6982774.0,0,1990183778.43,4,0.0,0.0,2
6740,CC,Empleado,1981-05-04,42,31-50,Activo,78649000,328182000,114684000.0,213498000.0,Medio,Personal,2,0.0,0.0,70000000.0,0,0.0,0,0.0,0.0,2
6741,CC,Empleado,1981-04-06,42,31-50,Activo,110025000,2889644000,44177000.0,2845467000.0,Medio,Personal,2,0.0,0.0,74753000.0,0,38069845.458,4,46066246.4615,114427129.981733,2
6742,CC,Empleado,1981-05-12,42,31-50,Activo,162000000,608080000,156731000.0,451349000.0,Medio,Personal,2,0.0,4700000.0,0.0,0,450000.0,1,0.0,0.0,0
6744,CC,Empleado,1981-10-30,41,31-50,Activo,138602000,794303000,339001000.0,455302000.0,Medio,Personal,2,70193700.0,0.0,0.0,0,32378879.93,1,0.0,0.0,1
6745,CC,Empleado,1981-10-11,41,31-50,Activo,772854000,3994676000,1670535000.0,2324141000.0,Medio,Personal,2,399418500.0,276471000.0,0.0,0,1227858503.7,1,0.0,0.0,0
6746,CC,Empleado,1981-09-28,41,31-50,Activo,6048000,809709000,230520000.0,579189000.0,Medio,Personal,2,0.0,0.0,187500000.0,0,145441933.14,1,135832466.666667,0.0,2
6748,CC,Empleado,1982-02-03,41,31-50,Activo,87565000,128000000,65521000.0,62479000.0,Medio,Personal,2,0.0,0.0,0.0,0,398055.696666667,1,0.0,0.0,1
6749,CC,Empleado,1982-01-24,41,31-50,Activo,621339000,3217128000,413742000.0,2803386000.0,Medio,Personal,2,0.0,0.0,120500000.0,0,300000000.0,1,0.0,0.0,2
6751,CC,Empleado,1981-10-06,41,31-50,Activo,116478000,251630000,15785000.0,235845000.0,Medio,Personal,2,0.0,643132510.0,34050000.0,0,0.0,0,0.0,0.0,3
6752,CC,Empleado,1981-10-23,41,31-50,Activo,60000000,129250000,6900000.0,40000000.0,Medio,Personal,2,0.0,120711580.0,17500000.0,0,22682190.12,1,0.0,0.0,3
6753,CC,Empleado,1981-11-25,41,31-50,Activo,676116000,582556000,296827000.0,285729000.0,Bajo,Personal,2,0.0,0.0,20000000.0,0,0.0,0,0.0,0.0,2
6754,CC,Empleado,1981-12-19,41,31-50,En Espera,389366000,797953000,10094000.0,787859000.0,Bajo,Personal,2,0.0,2601839.44,0.0,0,13805317.34,1,0.0,0.0,0
6755,CC,Empleado,1982-02-01,41,31-50,Activo,27600000,285000000,0.0,285000000.0,Medio,Personal,2,0.0,0.0,6500000.0,1,0.0,0,0.0,0.0,2
6756,CC,Empleado,1982-05-31,41,31-50,Activo,799776000,1073146000,644336000.0,428810000.0,Bajo,Personal,2,0.0,105829410.0,13872000.0,0,8956674.22222222,1,0.0,0.0,3
6763,CC,Empleado,1984-03-03,39,31-50,Activo,100870000,417789000,89170000.0,328619000.0,Medio,Personal,2,0.0,30238400.0,0.0,0,3581150.0,1,0.0,0.0,0
6764,CC,Empleado,1977-12-13,45,31-50,Activo,6457000,585549000,4170000.0,581379000.0,Medio,Personal,2,0.0,0.0,13197106.6666667,0,3063870.25,1,0.0,0.0,2
6766,CC,Empleado,1981-02-27,42,31-50,Activo,38894000,557941000,120590000.0,437351000.0,Alto,Personal,2,0.0,13661400.0,0.0,0,14635434.4866667,1,0.0,0.0,0
6767,CC,Empleado,1982-09-05,40,31-50,Activo,37275000,1203090000,78261000.0,1124829000.0,Medio,Personal,2,0.0,0.0,0.0,0,0.0,0,48300000.0,0.0,1
6769,CC,Empleado,1981-08-15,41,31-50,Activo,1800000,50000000,3500000.0,46500000.0,Medio,Personal,2,0.0,20956200.0,5000000.0,0,500000.0,1,0.0,0.0,3
6770,CC,Empleado,1982-06-01,41,31-50,Activo,283920000,991819000,543817000.0,448002000.0,Bajo,Personal,2,0.0,34947790.0,3377944.44444444,0,0.0,0,0.0,0.0,3
6772,CC,Empleado,1982-04-28,41,31-50,Activo,124517000,690476000,47804000.0,642672000.0,Medio,Personal,2,0.0,0.0,29579600.0,2,37580220.9683333,2,0.0,0.0,2
6773,CC,Empleado,1982-06-12,41,31-50,En Espera,3000000,99000000,6000000.0,90000000.0,Medio,Personal,2,0.0,0.0,0.0,0,58000000.0,1,0.0,0.0,1
6774,CC,Empleado,1982-04-16,41,31-50,Activo,583523000,1029892000,106898000.0,922994000.0,Bajo,Personal,2,0.0,0.0,86041576.3333333,0,260957555.0,5,181250000.0,0.0,2
6776,CC,Empleado,1982-06-22,41,31-50,Activo,36000000,90000000,20000000.0,70000000.0,Medio,Personal,2,0.0,83402160.0,0.0,0,1500000.0,1,0.0,0.0,0
6779,CC,Empleado,1982-09-29,40,31-50,Activo,636150000,1318161000,1876000.0,1316285000.0,Medio,Personal,2,0.0,0.0,0.0,0,0.0,0,254577452.5252,0.0,1
6780,CC,Empleado,1982-08-29,40,31-50,Activo,180508000,657911000,212806000.0,445105000.0,Medio,Personal,2,0.0,844000.0,14306666.6666667,0,10000000.0,1,0.0,0.0,3
6782,CC,Empleado,1982-10-16,40,31-50,Activo,662525000,1093290000,180755000.0,912535000.0,Bajo,Personal,2,0.0,10710000.0,15000000.0,0,4686527.89,2,0.0,0.0,3
6783,CC,Empleado,1982-11-17,40,31-50,Activo,146257000,892054000,4860000.0,887194000.0,Bajo,Personal,2,0.0,0.0,0.0,0,51959631.28,1,0.0,0.0,1
6784,CC,Empleado,1982-12-26,40,31-50,En Espera,84798000,3311802000,152000000.0,3159802000.0,Medio,Personal,2,0.0,0.0,29800000.0,0,26000000.0,1,24997013.0,72965530.0,2
